,0,1,2
BAC,9.202497649667208,0.3029941009133125,-1.6788682607389216
AAPL,-2.834532378925629,-4.075833900346916,0.13341034988594092
GE,1.2997851361654504,2.234475451430952,2.5320820734804337
F,1.8843255556578535,0.581035313102435,3.0681976983064745
MSFT,-4.463190481310139,-2.5996319546700413,-2.1383530553046737
AMD,-2.800466700610558,-4.635223113794571,3.048663053593399
MU,-2.5523372182163944,-5.284544947261956,2.0479545658547074
INTC,-3.435266681940749,-0.36569839255489145,-0.18824968865222402
CSCO,-0.48875841558463984,-0.8549691072782967,-1.5915168331341594
PFE,-2.604814541998806,2.7335232355369197,-3.2744268864387105
T,-5.000664131451122,10.622173387018462,4.018151974794734
CMCSA,-0.8000258916813441,4.835952391129491,0.5477698471130032
FCX,1.3371128286641039,0.4326105573921109,7.852858378459722
C,7.3840691744897775,0.6821391899362602,-1.522226160809566
WFC,7.201133633984597,2.3055577125642186,-1.870859975286871
JPM,8.417099234698963,1.8762664979921362,-1.0928299595902011
RF,9.921171109431473,0.6473869771881308,0.313256601192281
NFLX,-2.380881356787224,-4.728883328556265,-3.277698724303628
VZ,-5.1591002329008635,10.433330759185633,0.9173521034386304
ORCL,-2.938400206085991,-1.179183812485626,0.5968373691147725
GM,1.1795880456519212,-1.015818668021216,2.1692708559090668
KO,-6.843982947543745,4.849448969856182,-0.912560016003111
KMI,-2.0677145488673467,-0.4115711149790878,5.903741496499715
AMAT,-2.162142703372421,-6.7486296358847575,1.672696648089767
XOM,-0.01675195725514378,3.237914065031823,6.122526002946453
MS,7.306070014579882,-0.8578768879030255,-1.1522961293837155
KEY,9.507285980240415,0.6574296120471771,-0.27194316471241986
MRK,-2.5757920681864883,2.207671969410815,-2.523364044106428
GILD,-2.763542949857364,0.3443185195312342,-4.410770455647827
QCOM,-3.007903301998748,-2.511677266882968,1.3497908629973066
DAL,-0.05521930057309499,-0.9507470890387856,-4.7422980470317295
EBAY,-4.370130391924049,-3.329767144016967,3.8918843541178174
BSX,-3.5182855454977617,-4.550880281769858,-1.5581356477978203
HAL,2.0492187509883886,-0.8231770893630325,6.3210497816115225
NVDA,-2.0664112483928854,-6.3306376154720345,1.1004828776710485
HBAN,9.150240392093057,0.8987108389070344,-0.45727061543768244
V,-3.04657679101419,-3.329301218454457,-3.1392442541671373
GLW,-0.40440200227171097,-2.5958456957910783,1.305794816729124
SBUX,-2.5314598455984307,-0.5133233440733521,-4.02749886221894
MDLZ,-5.498262930385609,1.3196822938896944,-2.864075439179903
PG,-5.813172437293435,6.109663385208274,0.7066347225881348
KR,-1.7302309431086684,5.677584476800386,-6.690112337972503
MGM,-1.9267119884965118,-4.4162068956409115,-1.1133592817115314
AIG,3.87192829104702,-1.026045404358526,-0.7862691571669361
NKE,-1.6807179812258253,-0.313972275346322,-4.333126932126962
SCHW,7.826324322996777,0.45957647987225325,-0.0030525054704640953
